Time[s], TX, RX, Dir, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
14.327110000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.327210000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.327260000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.331210000000000, 1, 1, 1, 1, 1, 1, 1, 1
14.331240000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.332160000000002, 1, 1, 1, 1, 1, 1, 1, 1
14.332230000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.332640000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.332800000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.332850000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.332950000000000, 0, 1, 0, 1, 1, 1, 1, 1
14.333060000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.333110000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.333160000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.333210000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.333260000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.333380000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.333560000000000, 1, 1, 1, 1, 1, 1, 1, 1
14.333580000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.333630000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.333680000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.333790000000000, 1, 1, 1, 1, 1, 1, 1, 1
14.333840000000000, 0, 1, 0, 1, 1, 1, 1, 1
14.333890000000002, 1, 1, 1, 1, 1, 1, 1, 1
14.333940000000002, 0, 1, 0, 1, 1, 1, 1, 1
14.334040000000002, 1, 1, 1, 1, 1, 1, 1, 1
14.334110000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.334570000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.334650000000002, 0, 1, 0, 1, 1, 1, 1, 1
14.334900000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.334950000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.335110000000002, 1, 1, 1, 1, 1, 1, 1, 1
14.335180000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.335360000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.335380000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.335430000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.335580000000002, 0, 1, 0, 1, 1, 1, 1, 1
14.335640000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.335970000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.353270000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.354200000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.355240000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.355350000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.355400000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.355510000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.355660000000000, 1, 0, 0, 1, 1, 1, 1, 1
14.355710000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.355780000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.355880000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.355940000000000, 1, 0, 0, 1, 1, 1, 1, 1
14.356040000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.356090000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.356140000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.356200000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.356250000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.357450000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.357500000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.357550000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.357920000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.357990000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.358400000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.359420000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.359470000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.359520000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.359630000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.359680000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.359780000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.359840000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.359890000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.399370000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.400300000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.401380000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.401850000000001, 1, 0, 1, 1, 1, 1, 1, 1
